occid,catalogNumber,family,sciname,eventDate,fieldnumber,island,locality,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,locationRemarks,georeferencedBy,georeferenceRemarks
19746,108637,Amastridae,Amastra micans,1/1/1932,,Oahu,Mt. Kaala; inland 1500 feet,21.5,-158.1333,WGS84,301,,sunray1,1500 feet from the southwestern edge of Kaala Peak Valley
33509,123124,Amastridae,Amastra micans frostii,12/31/1926,,Oahu,"Waianae Mountains; Haleauau; Loc. W320C-2 - ""South slope, on fire break trail""",21.49828457,-158.1330401,WGS84,200,,sunray1,"Coordinates based on georeferenced site from map, batch updated"
36154,125703,Amastridae,Amastra micans,1/14/1934,,Oahu,Waianae Mountains; Ekahanui; Valley I>II; Loc. 5 = W410 F-3a,21.438209,-158.093176,WGS84,50,,sunray1,Coordinates based on map
36302,125851,Amastridae,Amastra micans,1/21/1934,,Oahu,Waianae Mountains; Ekahanui; Valley I; Loc. 2 = W410 F-7,21.438264,-158.092424,WGS84,50,,sunray1,Coordinates based on map
44253,133715,Amastridae,Amastra micans,12/1/1931,,Oahu,"Waianae Mountains; Ekahanui Kanehoa; South fork, high up; Loc. = W410F-3a,5,6,7a",21.438388,-158.09204,WGS84,120,,sunray1,Coordinates based on map
36244,125793,Amastridae,Amastra micans,1/14/1934,,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,WGS84,50,,sunray1,Coordinates based on map
36245,125794,Amastridae,Amastra micans,1/14/1934,,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,WGS84,50,,sunray1,Coordinates based on map
36246,125795,Amastridae,Amastra micans,1/14/1934,,Oahu,Waianae Mountains; Ekahanui; Valley II; Loc. 7 = W410 E-4,21.438711,-158.094209,WGS84,50,,sunray1,Coordinates based on map
73485,211668,Amastridae,Amastra micans,9/16/1941,,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #4,21.439107,-158.095312,WGS84,75,,sunray1 (2023-06-06 19:53:11),Coordinates based on map
73525,211708,Amastridae,Amastra micans,9/16/1941,,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #4,21.439107,-158.095312,WGS84,75,,sunray1 (2023-06-06 19:53:11),Coordinates based on map
73364,211547,Amastridae,Amastra micans,9/16/1941,,Oahu,Waianae Mountains; Ekahanui Gulch; Loc. #3,21.439784,-158.09286,WGS84,75,,sunray1 (2023-06-06 19:51:25),Coordinates based on map
